2016PN880156,OIL SANDS LONGTERM WQ MONITORING,M3 LT WQ PANEL 5 OF 10,AL07DD0008,56.8388,-111.41548,2017-02-16 10:35,VERTICAL INTEGRATED,WATER,1.7,,5.8,,0.05,,0.58,,81.6,,0.002,L,0.001,,31.2,,0.021,,0.039,,0.003,,0.07,,0.044,,0.35,,0.017,,0.01,L,0.001,,160,,0.028,L,0.005,,9.91,,1.82,,0.833,,1.07,L,0.001,,,,0.001,,1.53,,0.04,,0.19,L,0.001,,349,L,0.01,,0.004,L,0.005,,0.1,L,0.001,,0.536,,0.335,,0.075,,1,L,0.1,,292,,0.06,,0.81,,89.2,,0.021,,0.003,,32.2,,0.033,,0.79,,0.07,,0.54,,0.305,,0.8,,0.109,,0.02,L,0.001,,816,,0.379,,0.258,,10,,32.2,,0.864,,1.61,,0.011,,,L,0.001,,2.18,,0.12,,0.23,,0.005,,359,L,0.01,,0.011,,0.022,,5.6,,0.004,,0.551,,1.14,,0.34,,4.3,,0.5
2016PN880157,OIL SANDS LONGTERM WQ MONITORING,M3 LT WQ PANEL 10 OF 10,AL07DD0008,56.83878,-111.41164,2017-02-16 11:00,VERTICAL INTEGRATED,WATER,2.9,,8.2,,0.009,,0.34,,30.9,,0.003,L,0.001,,40.4,,0.004,,0.076,,0.002,,0.11,,0.036,,0.02,,0.027,,0.01,L,0.001,,475,,0.041,L,0.005,,7.86,,8.09,,0.263,,0.46,L,0.001,,,L,0.001,,1.13,,0.05,,0.05,L,0.001,,154,L,0.01,,0.002,L,0.005,,0.3,L,0.001,,0.133,,0.571,,0.063,L,0.2,L,0.1,,73.1,,0.01,,0.39,,32.9,,0.01,L,0.001,,39.7,,0.007,,0.268,,0.014,,0.22,,0.11,,0.12,,0.042,,0.01,L,0.001,,802,,0.132,L,0.005,,8.06,,24.9,,0.268,,0.56,L,0.001,,,L,0.001,,1.3,,0.08,,0.05,L,0.001,,160,L,0.01,,0.002,L,0.005,,1.8,,0.003,,0.14,,0.595,,0.123,,0.9,,0.2
2016PN880158,OIL SANDS LONGTERM WQ MONITORING,ATHABASCA RIVER M2 ABOVE HORSE RIVER,AL07DD0002,56.71952778,-111.40447,2017-02-16 13:05,VERTICAL INTEGRATED,WATER,3.6,,10.1,,0.059,,0.58,,86.6,,0.002,L,0.001,,29.5,,0.025,,0.037,,0.005,,0.16,,0.043,,1.25,,0.03,,0.01,L,0.001,,123,,0.025,L,0.005,,9.59,,1.09,,0.9,,1.2,L,0.001,,,L,0.001,,1.61,,0.04,,0.2,L,0.001,,374,L,0.01,,0.005,,0.012,,0.1,,0.011,,0.581,,0.351,,0.072,,4.6,L,0.1,,449,,0.084,,1,,98.8,,0.033,,0.005,,30.2,,0.038,,1.14,,0.114,,0.89,,0.424,,1.86,,0.159,,0.02,,0.001,,1110,,0.54,,0.416,,10.3,,39.3,,0.959,,1.92,,0.012,,,L,0.001,,2.64,,0.2,,0.25,,0.005,,384,L,0.01,,0.014,,0.095,,6.7,,0.015,,0.61,,1.63,,0.478,,7.2,,0.6
2016PN880159,OIL SANDS LONGTERM WQ MONITORING,"ATHABASCA RIVER M7, BELOW ELLS RIVER",AL07DD0007,57.31373,-111.67183,2017-02-15 12:50,VERTICAL INTEGRATED,WATER,1.4,,26.2,,0.048,,0.49,,62.2,,0.002,,0.008,,42.1,,0.013,,0.045,,0.004,,0.08,,0.047,,0.8,,0.008,,0.01,L,0.001,,242,,0.032,L,0.005,,11.4,,3.51,,0.672,,1.1,,0.002,,,L,0.001,,1.32,,0.05,,0.13,L,0.001,,259,L,0.01,,0.005,,0.005,,0.2,L,0.001,,0.363,,0.29,,0.074,,0.5,,0.1,,50.9,,0.044,,0.56,,63.7,,0.007,L,0.001,,44.6,,0.019,,0.176,,0.014,,0.19,,0.115,,0.41,,0.019,,0.01,L,0.001,,457,,0.092,L,0.005,,11.5,,20,,0.689,,1.15,,0.004,,,L,0.001,,1.44,,0.06,,0.15,L,0.001,,263,L,0.01,,0.006,,0.006,,1.1,L,0.001,,0.363,,0.428,,0.127,,1.9,,0.2
2016PN880161,OIL SANDS LONGTERM WQ MONITORING,"ATHABASCA RIVER M6, BELOW MACKAY RIVER",AL07DD0009,57.21505,-111.61150,2017-03-14 10:45,VERTICAL INTEGRATED,WATER,2.2,,7.2,,0.04,,0.49,,68.8,,0.002,L,0.001,,36.6,,0.013,,0.05,,0.003,,0.08,,0.062,,0.26,,0.013,,0.01,L,0.001,,276,,0.031,L,0.005,,9.92,,10.3,,0.695,,0.94,L,0.001,,,L,0.001,,1.45,,0.05,,0.15,L,0.001,,310,L,0.01,,0.005,L,0.005,,0.2,L,0.001,,0.435,,0.311,,0.069,,0.3,L,0.1,,44,,0.04,,0.55,,70,,0.005,L,0.001,,38.2,,0.017,,0.143,,0.01,,0.14,,0.101,,0.51,,0.015,L,0.01,L,0.001,,444,,0.076,L,0.005,,10.2,,15.6,,0.709,,1.02,L,0.001,,,L,0.001,,1.57,,0.07,,0.16,L,0.001,,314,L,0.01,,0.005,,0.008,,0.8,L,0.001,,0.432,,0.349,,0.098,,1.3,,0.2
2016PN880162,OIL SANDS LONGTERM WQ MONITORING,ATHABASCA RIVER M4 ABOVE MUSKEG RIVER,AL07DD0004,57.12697222,-111.60242,2017-03-14 12:45,TRIPLICATE SAMPLE,WATER,1.4,,7.5,,0.028,,0.46,,63.9,,0.003,L,0.001,,33.6,,0.013,,0.051,,0.002,,0.11,,0.059,,0.18,,0.008,,0.01,L,0.001,,288,,0.032,L,0.005,,9.23,,8.82,,0.658,,0.87,L,0.001,,,L,0.001,,1.4,,0.05,,0.13,L,0.001,,293,L,0.01,,0.003,L,0.005,,0.1,L,0.001,,0.396,,0.262,,0.06,,0.3,L,0.1,,54.4,,0.028,,0.5,,65.3,,0.006,L,0.001,,34.9,,0.016,,0.175,,0.011,,0.21,,0.102,,0.62,,0.013,,0.01,L,0.001,,483,,0.09,L,0.005,,9.47,,16,,0.658,,1,L,0.001,,,L,0.001,,1.55,,0.06,,0.13,L,0.001,,295,L,0.01,,0.005,,0.009,,1.1,L,0.001,,0.387,,0.328,,0.117,,1.9,,0.2
2016PN880163,OIL SANDS LONGTERM WQ MONITORING,ATHABASCA RIVER M4 ABOVE MUSKEG RIVER,AL07DD0004,57.12697222,-111.60242,2017-03-14 12:50,TRIPLICATE SAMPLE,WATER,,,6.9,,0.036,,0.48,,63.9,,0.002,L,0.001,,34.9,,0.008,,0.054,,0.003,,0.08,,0.054,,0.29,,0.025,,0.01,L,0.001,,288,,0.034,L,0.005,,9.14,,8.56,,0.662,,0.87,L,0.001,,,L,0.001,,1.38,,0.05,,0.13,L,0.001,,286,L,0.01,,0.004,L,0.005,,0.2,L,0.001,,0.404,,0.389,,0.065,,0.9,L,0.1,,7.2,,0.029,,0.48,,64.4,,0.003,L,0.001,,36.2,,0.016,,0.086,,0.004,,0.07,,0.05,,0.29,L,0.001,L,0.01,L,0.001,,330,,0.051,L,0.005,,9.63,,5.41,,0.672,,0.87,L,0.001,,,L,0.001,,1.41,,0.06,,0.12,L,0.001,,294,L,0.01,,0.004,,0.006,,0.1,L,0.001,,0.392,,0.145,,0.088,,3,,0.1
2016PN880164,OIL SANDS LONGTERM WQ MONITORING,ATHABASCA RIVER M4 ABOVE MUSKEG RIVER,AL07DD0004,57.12697222,-111.60242,2017-03-14 12:55,TRIPLICATE SAMPLE,WATER,,,6.6,,0.031,,0.47,,63.9,,0.003,L,0.001,,35.7,,0.013,,0.052,,0.003,,0.1,,0.054,,0.17,,0.02,,0.01,L,0.001,,290,,0.031,L,0.005,,9.32,,8.79,,0.648,,0.84,L,0.001,,,L,0.001,,1.38,,0.05,,0.14,L,0.001,,294,L,0.01,,0.004,L,0.005,,0.2,L,0.001,,0.395,,0.303,,0.072,L,0.2,L,0.1,,53.2,,0.033,,0.52,,65.7,,0.005,L,0.001,,34.8,,0.016,,0.172,,0.012,,0.54,,0.099,,0.48,,0.013,L,0.01,L,0.001,,485,,0.088,L,0.005,,9.62,,15.8,,0.655,,1.18,L,0.001,,,L,0.001,,1.55,,0.06,,0.13,L,0.001,,301,L,0.01,,0.006,L,0.005,,1.2,L,0.001,,0.393,,0.284,,0.108,,1.2,,0.2
2016PN880170,OIL SANDS LONGTERM WQ MONITORING,M3 LT WQ PANEL 1 OF 10,AL07DD0008,56.8383,-111.41835,2017-03-16 11:30,VERTICAL INTEGRATED,WATER,2.6,L,0.5,,0.065,,0.58,,88,,0.002,L,0.001,,33.9,,0.019,,0.025,,0.003,,0.07,,0.064,,0.75,,0.006,,0.02,L,0.001,,112,,0.021,,0.292,,10.8,,2.14,,0.95,,1.18,L,0.001,,,L,0.001,,1.82,L,0.01,,0.2,L,0.001,,385,L,0.01,,0.005,,0.011,,0.1,RANGEH,0.039,,0.605,,0.135,,0.064,,1.8,L,0.1,,8,,0.063,,0.58,,85.4,L,0.001,L,0.001,,34.3,,0.021,,0.071,,0.004,,0.09,,0.071,,0.59,,0.042,L,0.01,L,0.001,,156,,0.044,,0.121,,10.3,,5.06,,0.907,,1.19,L,0.001,,,,0.001,,1.89,,0.01,,0.19,,0.002,,380,,0.01,,0.005,,0.04,L,0.1,,0.04,,0.588,,0.157,,0.096,,2.4,,0.1
2016PN880171,OIL SANDS LONGTERM WQ MONITORING,M3 LT WQ PANEL 5 OF 10,AL07DD0008,56.8388,-111.41548,2017-03-16 12:00,VERTICAL INTEGRATED,WATER,2.6,L,0.5,,0.062,,0.52,,81.8,,0.001,L,0.001,,31,,0.018,,0.033,,0.003,,0.07,,0.051,,0.61,,0.023,L,0.01,L,0.001,,142,,0.022,,0.269,,10.4,,1.27,,0.847,,1.11,L,0.001,,,L,0.001,,1.63,,0.01,,0.18,,0.002,,361,L,0.01,,0.004,,0.006,,0.1,,0.006,,0.567,,0.149,,0.065,,1.5,L,0.1,,24.4,,0.062,,0.62,,83.1,,0.009,L,0.001,,31.5,,0.019,,0.301,,0.012,,0.14,,0.119,,0.8,,0.061,L,0.01,L,0.001,,328,,0.136,,0.189,,9.75,,14.5,,0.853,,1.14,L,0.001,,,L,0.001,,1.75,,0.02,,0.18,,0.002,,359,L,0.01,,0.006,,0.028,,0.5,,0.014,,0.548,,0.257,,0.181,,3.4,,0.2
2016PN880172,OIL SANDS LONGTERM WQ MONITORING,M3 LT WQ PANEL 10 OF 10,AL07DD0008,56.83878,-111.41164,2017-03-16 12:20,VERTICAL INTEGRATED,WATER,2.6,L,0.5,,0.014,,0.28,,30.4,,0.001,L,0.001,,37.3,,0.004,,0.068,,0.002,,0.11,,0.026,,0.4,,0.035,L,0.01,L,0.001,,448,,0.038,,0.27,,8.19,,3.74,,0.259,,0.51,L,0.001,,,L,0.001,,1.11,L,0.01,,0.06,L,0.001,,160,L,0.01,,0.001,L,0.005,,0.3,,0.006,,0.144,,0.195,,0.05,,0.6,L,0.1,,112,,0.021,,0.37,,33.3,,0.005,L,0.001,,38.5,,0.004,,0.392,,0.022,,0.34,,0.133,,0.36,,0.077,,0.01,L,0.001,,910,,0.187,,0.169,,8.02,,29.8,,0.281,,0.63,,0.005,,,L,0.001,,1.4,,0.05,,0.06,,0.004,,162,,0.03,,0.003,,0.026,,2.3,,0.019,,0.145,,0.534,,0.146,,8.6,,0.2
2016PN880173,OIL SANDS LONGTERM WQ MONITORING,ATHABASCA RIVER M2 ABOVE HORSE RIVER,AL07DD0002,56.71952778,-111.40447,2017-03-16 14:15,VERTICAL INTEGRATED,WATER,3.7,L,0.5,,0.06,,0.56,,87,L,0.001,L,0.001,,28.5,,0.015,,0.024,,0.004,,0.08,,0.033,RANGEH,7.69,,0.033,,0.02,L,0.001,,109,,0.019,,0.257,,10.4,,0.57,,0.968,,1.23,L,0.001,,,L,0.001,,1.68,L,0.01,,0.19,L,0.001,,381,,0.02,,0.006,,0.232,,0.2,,0.004,,0.599,,0.143,,0.062,,2.2,L,0.1,,682,,0.092,,1.12,,102,,0.037,,0.004,,32,,0.038,,1.56,,0.146,,1.23,,0.617,,11.5,,0.22,,0.03,L,0.001,,1440,,0.733,,0.698,,10.8,,75,,0.994,,2.22,,0.025,,,L,0.001,,3.18,,0.21,,0.23,,0.01,,382,L,0.01,,0.017,,1.11,,10.8,RANGEH,0.034,,0.606,,2.06,,0.578,,8.5,,0.8
2016PN880174,OIL SANDS LONGTERM WQ MONITORING,"ATHABASCA RIVER M7, BELOW ELLS RIVER",AL07DD0007,57.31373,-111.67183,2017-03-15 12:55,VERTICAL INTEGRATED,WATER,1.3,L,0.5,,0.047,,0.47,,60.9,,0.003,L,0.001,,44.6,,0.008,,0.04,,0.002,,0.05,,0.044,,0.52,L,0.001,L,0.01,L,0.001,,221,,0.027,,0.267,,12.4,,2.99,,0.708,,1.04,L,0.001,,,L,0.001,,1.3,,0.01,,0.14,L,0.001,,258,L,0.01,,0.004,L,0.005,,0.1,,0.003,,0.363,,0.137,,0.065,,0.7,L,0.1,,13.5,,0.055,,0.49,,60.6,,0.005,,0.003,,45.3,,0.01,,0.132,,0.008,,0.08,,0.072,,0.48,L,0.001,L,0.01,L,0.001,,356,,0.066,,0.168,,12.1,,12.3,,0.719,,1.1,,0.002,,,L,0.001,,1.31,,0.02,,0.12,,0.002,,258,,0.04,,0.005,,0.031,,0.2,,0.002,,0.349,,0.201,,0.112,,1.4,,0.1
2017PN880001,OIL SANDS LONGTERM WQ MONITORING,M3 LT WQ PANEL 3 OF 10,AL07DD0008,56.83849,-111.41702,2017-05-24 13:30,VERTICAL INTEGRATED,WATER,2.5,,55.7,,0.098,,0.69,,53.5,,0.013,,0.004,,18.3,,0.012,,0.4,,0.012,,0.14,,0.122,,2.1,,0.039,,0.01,L,0.001,,247,,0.2,,0.209,,5.94,,3.29,,0.572,,2.55,,0.002,,,L,0.001,,1.09,L,0.01,,0.18,,0.003,,156,L,0.01,,0.009,L,0.005,,1,,0.002,,0.444,,0.515,,0.365,,0.6,,0.4,,4110,,0.219,,3.35,,138,,0.247,,0.07,,23.2,,0.093,,9.83,,0.787,,5.66,,3.13,,8.4,,1.25,,0.13,,0.011,,7310,,4.71,,4.08,,11.1,,170,,0.812,,9.88,,0.141,,,L,0.001,,8.69,,1.36,,0.31,,0.047,,185,,0.01,,0.095,,0.145,,59.2,,0.012,,0.775,,10.6,,3.86,,25.3,,2.8
2017PN880002,OIL SANDS LONGTERM WQ MONITORING,M3 LT WQ PANEL 9 OF 10,AL07DD0008,56.83991,-111.41234,2017-05-24 14:30,VERTICAL INTEGRATED,WATER,3.8,,62.8,,0.04,,0.55,,24,,0.012,,0.002,,27.8,,0.002,,0.448,,0.01,,0.18,,0.091,,0.84,,0.048,,0.01,L,0.001,,443,,0.212,,0.194,,5.41,,5,,0.289,,1.29,,0.002,,,L,0.001,,0.946,,0.02,,0.07,,0.002,,82.1,L,0.01,,0.004,L,0.005,,1.3,,0.002,,0.132,,0.513,,0.259,,0.5,,0.3,,2970,,0.084,,2.52,,66.7,,0.181,,0.047,,33.4,,0.053,,9,,0.54,,4.38,,2.4,,5.03,,0.968,,0.1,,0.008,,6290,,4.13,,2.78,,9.42,,167,,0.405,,5.99,,0.122,,,L,0.001,,7.02,,1,,0.16,,0.027,,94.8,L,0.01,,0.054,,0.094,,52.1,,0.009,,0.374,,8.23,,3.04,,17.2,,2.1
2017PN880003,OIL SANDS LONGTERM WQ MONITORING,M3 LT WQ PANEL 1 OF 10,AL07DD0008,56.8383,-111.41835,2017-06-20 12:25,VERTICAL INTEGRATED,WATER,1,,79,,0.106,,0.65,,61.8,,0.011,,0.002,,13.9,,0.016,,0.225,,0.015,,0.14,,0.097,,1.92,,0.028,,0.01,L,0.001,,197,,0.122,,0.145,,4.54,,3.07,,0.838,,1.78,,0.003,,,L,0.001,,0.93,,0.03,,0.22,,0.002,,204,L,0.01,,0.008,L,0.005,,1.2,,0.005,,0.497,,0.538,,0.183,,0.9,,0.3,,5040,,0.192,,3.58,,161,,0.284,,0.077,,18.7,,0.133,,10.9,,0.915,,7.11,,3.91,,9.51,,1.76,,0.14,,0.012,,9090,,5.18,,4.85,,10.3,,249,,1.13,,11.3,,0.164,,,L,0.001,,9.95,,1.7,,0.4,,0.055,,241,,0.02,,0.11,,0.154,,65.2,,0.013,,0.865,,13.1,,4.35,,30.3,,2.8
2017PN880004,OIL SANDS LONGTERM WQ MONITORING,"ATHABASCA RIVER M7, BELOW ELLS RIVER",AL07DD0007,57.31373,-111.67183,2017-05-25 12:25,VERTICAL INTEGRATED,WATER,3.8,,52.4,,0.087,,0.71,,44.4,,0.016,,0.004,,31.4,,0.007,,0.426,,0.01,,0.15,,0.138,,1.92,,0.052,,0.01,L,0.001,,346,,0.216,,0.218,,7.33,,5.22,,0.634,,2.49,,0.002,,,L,0.001,,1.13,,0.01,,0.16,,0.004,,139,L,0.01,,0.007,L,0.005,,1,,0.002,,0.35,,0.533,,0.369,,1.3,,0.4,,3290,,0.158,,2.86,,105,,0.202,,0.058,,35.5,,0.07,,8.23,,0.642,,4.66,,2.53,,6.68,,1.01,,0.12,,0.007,,6310,,3.88,,3.18,,11.4,,160,,0.827,,8.2,,0.113,,,L,0.001,,7.35,,1.08,,0.28,,0.036,,161,L,0.01,,0.069,,0.121,,46.4,,0.009,,0.6,,8.81,,3.14,,21.2,,2.6
2017PN880006,OIL SANDS LONGTERM WQ MONITORING,ATHABASCA RIVER M2 ABOVE HORSE RIVER,AL07DD0002,56.71952778,-111.40447,2017-05-24 10:00,TRIPLICATE SAMPLE,WATER,4,,55.4,,0.128,,0.7,,54.8,,0.017,,0.004,,16.7,,0.012,,0.396,,0.011,,0.13,,0.117,,2.08,,0.047,,0.01,L,0.001,,245,,0.204,,0.205,,5.66,,2.81,,0.561,,2.48,,0.002,,,L,0.001,,1.1,,0.01,,0.16,,0.004,,156,L,0.01,,0.008,L,0.005,,1,,0.003,,0.419,,0.52,,0.36,,0.9,,0.4,,4050,,0.17,,3.18,,132,,0.227,,0.067,,20.8,,0.092,,9.19,,0.76,,5.61,,2.91,,7.79,,1.19,,0.13,,0.009,,6910,,4.39,,3.83,,10.4,,160,,0.82,,9.53,,0.14,,,L,0.001,,8.4,,1.3,,0.34,,0.043,,181,,0.01,,0.084,,0.143,,59.8,,0.011,,0.766,,10.2,,3.51,,23.9,,2.8
2017PN880007,OIL SANDS LONGTERM WQ MONITORING,ATHABASCA RIVER M2 ABOVE HORSE RIVER,AL07DD0002,56.71952778,-111.40447,2017-05-24 10:05,TRIPLICATE SAMPLE,WATER,,,55.9,,0.107,,0.69,,55.6,,0.016,,0.003,,16.2,,0.011,,0.406,,0.011,,0.13,,0.119,,2.15,,0.049,,0.02,L,0.001,,250,,0.206,,0.205,,5.73,,2.92,,0.56,,2.58,,0.002,,,L,0.001,,1.11,,0.01,,0.15,,0.004,,159,L,0.01,,0.008,L,0.005,,1,,0.001,,0.436,,0.51,,0.367,,0.7,,0.4,,3940,,0.19,,3.14,,132,,0.225,,0.065,,20.6,,0.095,,9.22,,0.752,,5.46,,2.93,,8.09,,1.17,,0.12,,0.009,,6980,,4.38,,3.85,,10.2,,161,,0.805,,9.46,,0.133,,,,0.001,,8.12,,1.28,,0.31,,0.046,,182,L,0.01,,0.088,,0.134,,56.4,,0.01,,0.75,,9.96,,3.56,,24.6,,2.6
2017PN880008,OIL SANDS LONGTERM WQ MONITORING,ATHABASCA RIVER M2 ABOVE HORSE RIVER,AL07DD0002,56.71952778,-111.40447,2017-05-24 10:10,TRIPLICATE SAMPLE,WATER,,,70.2,,0.098,,0.72,,54.6,,0.016,,0.003,,16.6,,0.012,,0.401,,0.013,,0.16,,0.113,,2.05,,0.057,L,0.01,L,0.001,,271,,0.209,,0.206,,5.7,,2.92,,0.588,,2.59,,0.003,,,L,0.001,,1.1,,0.03,,0.16,,0.004,,156,L,0.01,,0.009,,0.011,,1.2,,0.002,,0.425,,0.563,,0.368,,0.6,,0.4,,3940,,0.167,,3.08,,133,,0.225,,0.066,,20.9,,0.09,,9.15,,0.733,,5.49,,2.94,,7.94,,1.18,,0.13,,0.009,,6990,,4.32,,3.83,,10.2,,161,,0.786,,9.47,,0.136,,,L,0.001,,8.11,,1.26,,0.32,,0.044,,182,L,0.01,,0.085,,0.152,,56.2,,0.011,,0.751,,10.1,,3.46,,23.8,,2.7
2017PN880014,OIL SANDS LONGTERM WQ MONITORING,M3 LT WQ PANEL 3 OF 10,AL07DD0008,56.83849,-111.41702,2017-06-20 11:40,VERTICAL INTEGRATED,WATER,2.8,,64.3,,0.101,,0.63,,61.8,,0.012,,0.002,,11.8,,0.012,,0.219,,0.014,,0.13,,0.092,,1.91,,0.031,,0.01,L,0.001,,190,,0.109,,0.143,,4.41,,3.09,,0.822,,1.77,,0.002,,,L,0.001,,0.791,,0.03,,0.21,,0.002,,202,L,0.01,,0.008,L,0.005,,1.1,,0.004,,0.484,,0.537,,0.176,,0.8,,0.3,,4820,,0.182,,3.62,,163,,0.286,,0.082,,16.6,,0.136,,10.6,,0.881,,6.84,,3.84,,9.64,,1.66,,0.15,,0.011,,8920,,5.1,,4.91,,10.2,,251,,1.09,,11.2,,0.142,,,L,0.001,,9.37,,1.64,,0.39,,0.054,,238,,0.02,,0.11,,0.126,,57.9,,0.012,,0.85,,12.5,,4.35,,30.2,,2.4
2017PN880015,OIL SANDS LONGTERM WQ MONITORING,M3 LT WQ PANEL 6 OF 10,AL07DD0008,56.83862,-111.41478,2017-06-20 11:10,VERTICAL INTEGRATED,WATER,2.9,,83,,0.108,,0.61,,61.4,,0.012,,0.002,,11.4,,0.013,,0.22,,0.016,,0.16,,0.087,,1.96,,0.035,,0.02,L,0.001,,202,,0.115,,0.154,,4.32,,2.95,,0.822,,1.73,,0.006,,,L,0.001,,0.833,,0.04,,0.23,,0.002,,201,,0.01,,0.008,L,0.005,,1.3,,0.004,,0.469,,0.567,,0.183,,0.8,,0.3,,4670,,0.192,,3.53,,157,,0.285,,0.075,,16,,0.13,,10.4,,0.875,,6.72,,3.76,,9.59,,1.65,,0.14,,0.011,,8610,,4.96,,4.8,,9.94,,241,,1.09,,11,,0.14,,,L,0.001,,9.28,,1.61,,0.41,,0.05,,237,,0.01,,0.106,,0.175,,59.9,,0.014,,0.838,,12.3,,4.25,,29.3,,2.4
2017PN880016,OIL SANDS LONGTERM WQ MONITORING,M3 LT WQ PANEL 9 OF 10,AL07DD0008,56.83991,-111.41234,2017-06-20 10:30,VERTICAL INTEGRATED,WATER,4.3,,41.2,,0.054,,0.58,,35.4,,0.009,,0.001,,22.4,,0.007,,0.224,,0.007,,0.16,,0.066,,1.09,,0.017,L,0.01,L,0.001,,304,,0.117,,0.165,,5.13,,3.07,,0.439,,1.17,L,0.001,,,L,0.001,,0.793,,0.02,,0.12,,0.001,,120,,0.02,,0.004,L,0.005,,0.7,,0.004,,0.216,,0.427,,0.179,,0.9,,0.2,,2200,,0.107,,1.98,,78.1,,0.132,,0.033,,25.3,,0.056,,5.5,,0.45,,3.21,,1.8,,4.34,,0.771,,0.09,,0.005,,4410,,2.55,,2.24,,7.58,,139,,0.553,,5.23,,0.084,,,L,0.001,,5.31,,0.73,,0.18,,0.023,,137,,0.02,,0.052,,0.074,,36,,0.008,,0.386,,6.06,,2.07,,13.7,,1.5
2017PN880017,OIL SANDS LONGTERM WQ MONITORING,M7 LTWQ PANEL 1 OF 10,AL07DD0007,57.31332,-111.67533,2017-06-21 13:25,VERTICAL INTEGRATED,WATER,4.1,,42.6,,0.102,,0.65,,55.2,,0.01,,0.003,,18.8,,0.012,,0.212,,0.011,,0.11,,0.084,,1.8,,0.019,,0.02,L,0.001,,184,,0.112,,0.163,,5.51,,3.39,,0.864,,1.75,L,0.001,,,L,0.001,,0.797,,0.01,,0.2,,0.002,,191,L,0.01,,0.007,L,0.005,,0.7,,0.003,,0.442,,0.492,,0.179,,1,,0.3,,4220,,0.181,,3.21,,138,,0.247,,0.067,,23.7,,0.109,,9.11,,0.803,,6.01,,3.33,,8.14,,1.46,,0.14,,0.01,,7690,,4.41,,4.1,,10.7,,220,,1.17,,9.78,,0.134,,,L,0.001,,8.58,,1.44,,0.35,,0.045,,224,,0.02,,0.097,,0.13,,54.9,,0.011,,0.752,,11.1,,3.68,,25.5,,2.5
2017PN880019,OIL SANDS LONGTERM WQ MONITORING,ATHABASCA RIVER M2 ABOVE HORSE RIVER,AL07DD0002,56.71952778,-111.40447,2017-06-20 16:00,VERTICAL INTEGRATED,WATER,6,,73.3,,0.097,,0.63,,62.6,,0.008,,0.003,,11.4,,0.015,,0.217,,0.015,,0.13,,0.091,,1.86,,0.033,,0.02,L,0.001,,194,,0.109,,0.147,,4.32,,2.84,,0.804,,1.72,,0.002,,,L,0.001,,0.837,,0.03,,0.23,,0.003,,200,,0.02,,0.007,L,0.005,,1,,0.004,,0.473,,0.557,,0.176,,0.8,,0.3,,4640,,0.186,,3.44,,154,,0.266,,0.073,,16.4,,0.127,,10.1,,0.876,,6.63,,3.67,,9.14,,1.63,,0.14,,0.011,,8470,,4.87,,4.66,,9.78,,234,,1.08,,10.9,,0.136,,,,0.001,,9.3,,1.57,,0.37,,0.052,,240,,0.02,,0.105,,0.14,,59,,0.014,,0.825,,12.1,,4.14,,28.4,,2.5
2017PN880020,OIL SANDS LONGTERM WQ MONITORING,M3 LT WQ PANEL 8 OF 10,AL07DD0008,56.83888,-111.41328,2017-06-21 14:15,VERTICAL INTEGRATED,WATER,5,,83.4,,0.1,,0.63,,50.9,,0.01,,0.003,,16.6,,0.011,,0.224,,0.015,,0.15,,0.085,,1.67,,0.026,,0.01,L,0.001,,233,,0.119,,0.152,,4.7,,3.37,,0.678,,1.52,,0.007,,,L,0.001,,0.851,,0.03,,0.19,,0.002,,171,,0.02,,0.006,L,0.005,,1.6,,0.004,,0.384,,0.576,,0.18,,1,,0.3,,4240,,0.16,,3.09,,134,,0.231,,0.063,,21.1,,0.105,,9.36,,0.786,,6.02,,3.31,,7.95,,1.49,,0.13,,0.009,,7690,,4.45,,3.96,,9.64,,223,,0.935,,9.38,,0.138,,,L,0.001,,8.74,,1.43,,0.32,,0.044,,205,,0.01,,0.097,,0.144,,57.9,,0.013,,0.696,,11.1,,3.66,,25.4,,2.5
2017PN880021,OIL SANDS LONGTERM WQ MONITORING,M3 LT WQ PANEL 3 OF 10,AL07DD0008,56.83849,-111.41702,2017-07-18 10:00,VERTICAL INTEGRATED,WATER,2.2,,21,,0.06,,0.51,,52.5,,0.003,L,0.001,,15,,0.009,,0.233,,0.004,,0.06,,0.056,,1.75,,0.019,L,0.01,L,0.001,,91.5,,0.232,,0.062,,4.89,,1.65,,0.75,,1.01,L,0.001,,,L,0.001,,0.719,L,0.01,,0.16,L,0.001,,219,,0.01,,0.006,L,0.005,,0.3,,0.003,,0.393,,0.283,,0.078,,0.5,,0.1,,986,,0.091,,1.12,,69.8,,0.058,,0.013,,14.7,,0.029,,2.06,,0.199,,1.55,,0.738,,2.25,,0.334,,0.03,,0.002,,1690,,1.01,,0.922,,5.68,,60,,0.694,,2.61,,0.035,,,L,0.001,,2.72,,0.29,,0.21,,0.01,,225,,0.02,,0.026,,0.046,,14.7,,0.006,,0.459,,2.91,,0.842,,6.4,,0.9
